# curie_map:
#   euaiact: "https://w3id.org/bom/reg/euaiact/"
#   bom: "https://w3id.org/bom/"
#   mldcatap: "http://data.europa.eu/it6/"
#   dcat: "http://www.w3.org/ns/dcat#"
#   dcterms: "http://purl.org/dc/terms/"
#   mls: "http://www.w3.org/ns/mls#"
#   adms: "http://www.w3.org/ns/adms#"
#   prov: "http://www.w3.org/ns/prov#"
#   foaf: "http://xmlns.com/foaf/0.1/"
#   eu-aiact: "https://w3id.org/dpv/legal/eu/aiact#"
#   dpv: "https://w3id.org/dpv#"
#   schema: "https://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://w3id.org/bom/mapping/euaiact-anx8-a-to-semic"
# mapping_set_version: "0.1.0"
# mapping_set_title: "EU AI Act Annex VIII Section A (Art.49(1)) <-> SEMIC vocabularies"
# mapping_set_description: "Maps the 13 information items of Annex VIII Section A (provider of high-risk AI systems, Art.49(1)) to MLDCAT-AP 3.1.0, Schema.org and DPV EU AI Act. The bom: bridge concept in see_also provides the shared abstraction."
# license: "https://creativecommons.org/publicdomain/zero/1.0/"
# creator_id:
#   - "orcid:0000-0002-9698-1899"
# mapping_date: "2026-06-17"
# subject_source: "https://w3id.org/bom/reg/euaiact/anx8-a/"
# object_source: "https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/"
# see_also:
#   - "https://w3id.org/bom/"
#   - "https://digital-strategy.ec.europa.eu/en/library/eu-artificial-intelligence-act"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	see_also	comment
euaiact:anx8-a6-data-and-logic	Data and logic description (A.6)	skos:relatedMatch	mldcatap:trainingProcess	trainingProcess	semapv:ManualMappingCuration	bom:ai-training-prop	Training process details within A.6 map to MachineLearningModel.trainingProcess in MLDCAT-AP 3.1.0
euaiact:anx8-a7-market-status	Market availability status (A.7)	skos:closeMatch	adms:status	status	semapv:ManualMappingCuration	bom:doc-lifecycle-stage	Market status (available/withdrawn/recalled) maps to adms:status on the MachineLearningModel; MLDCAT-AP uses adms:status for dataset/model lifecycle status
euaiact:anx8-a10-member-states	Member states where placed on market (A.10)	skos:relatedMatch	dcterms:spatial	Spatial	semapv:ManualMappingCuration		Geographic market scope maps to dcterms:spatial (geographic coverage); no direct bom: bridge concept for geographic scope
euaiact:anx8-a11-declaration-of-conformity	Declaration of conformity reference (A.11)	skos:relatedMatch	mldcatap:HarmRisk	HarmRisk	semapv:ManualMappingCuration	bom:security-compliance	Conformity assessment evidence is loosely related to the HarmRisk class in MLDCAT-AP 3.1.0; no direct equivalent for a formal conformity declaration
euaiact:anx8-a12-instructions-for-use	Instructions for use URL (A.12)	skos:closeMatch	dcat:landingPage	Landing Page	semapv:ManualMappingCuration	bom:component-external-ref	URL to instructions for use maps to dcat:landingPage on MachineLearningModel/Dataset
euaiact:anx8-a13-additional-url	Additional information URL (A.13)	skos:relatedMatch	dcat:landingPage	Landing Page	semapv:ManualMappingCuration	bom:component-external-ref	Optional additional URL maps to dcat:landingPage; relatedMatch because it is a generic supplementary link
euaiact:anx8-a1-provider-info	Provider information (A.1)	skos:relatedMatch	schema:manufacturer	manufacturer	semapv:ManualMappingCuration	bom:component-supplier	schema:manufacturer (the entity that produced the AI system) supplements dcterms:publisher when the AI is described as a schema:SoftwareApplication
euaiact:anx8-a4-system-identity	System trade name and version (A.4)	skos:closeMatch	schema:name	name	semapv:ManualMappingCuration	bom:component-name	schema:name provides an exact match for the trade name of the AI system when described as a schema:SoftwareApplication
euaiact:anx8-a4-system-identity	System trade name and version (A.4)	skos:closeMatch	schema:softwareVersion	softwareVersion	semapv:ManualMappingCuration	bom:component-version	schema:softwareVersion is a closeMatch for the version number when the AI system is a schema:SoftwareApplication
euaiact:anx8-a5-purpose-and-functions	Intended purpose and functions (A.5)	skos:relatedMatch	schema:applicationCategory	applicationCategory	semapv:ManualMappingCuration	bom:ai-application-domain	schema:applicationCategory covers the application domain of the AI system when described as a schema:SoftwareApplication
euaiact:anx8-a8-certificate	Certificate reference (A.8, conditional)	skos:relatedMatch	schema:Certification	Certification	semapv:ManualMappingCuration	bom:security-compliance	Reference to a third-party conformity assessment certificate; schema:Certification is the nearest Schema.org type; no MLDCAT-AP equivalent
euaiact:anx8-a9-certificate-copy	Certificate copy (A.9, conditional)	skos:relatedMatch	schema:Certification	Certification	semapv:ManualMappingCuration	bom:security-compliance	Copy or URL of the conformity assessment certificate; schema:Certification with schema:url is the closest representation; no MLDCAT-AP equivalent
euaiact:anx8-a10-member-states	Member states where placed on market (A.10)	skos:relatedMatch	schema:areaServed	areaServed	semapv:ManualMappingCuration		schema:areaServed (geographic area where a product is available) supplements dcterms:spatial for market scope
euaiact:anx8-a11-declaration-of-conformity	Declaration of conformity reference (A.11)	skos:closeMatch	schema:Certification	Certification	semapv:ManualMappingCuration	bom:security-compliance	EU declaration of conformity is a specific type of certification document; schema:Certification is the closest Schema.org type; no MLDCAT-AP equivalent for a formal conformity declaration
euaiact:anx8-a1-provider-info	Provider information (A.1)	skos:closeMatch	eu-aiact:AIProvider	AIProvider	semapv:ManualMappingCuration	bom:component-supplier	DPV EU AI Act eu-aiact:AIProvider (Art.3 def.) is the entity that develops or places the AI system on the market — close match for the registering provider; supplements dcterms:publisher
euaiact:anx8-a2-submitter	Submitter on behalf of provider (A.2)	skos:relatedMatch	eu-aiact:AIProvider	AIProvider	semapv:ManualMappingCuration	bom:component-supplier	Submitter acting on behalf of the provider is a delegated AIProvider; relatedMatch because the submitter role is a delegation variant, not a distinct class in eu-aiact:
euaiact:anx8-a3-authorised-rep	EU authorised representative (A.3)	skos:exactMatch	eu-aiact:AuthorisedRepresentative	AuthorisedRepresentative	semapv:ManualMappingCuration	bom:component-supplier	eu-aiact:AuthorisedRepresentative is defined in Art.3(6) EU AI Act as the EU-based representative appointed by a non-EU provider — exact semantic match
euaiact:anx8-a5-purpose-and-functions	Intended purpose and functions (A.5)	skos:exactMatch	eu-aiact:IntendedPurpose	IntendedPurpose	semapv:ManualMappingCuration	bom:ai-application-domain	eu-aiact:IntendedPurpose (Art.3(12) EU AI Act) is the use for which an AI system is intended — exact semantic match for the A.5 intended purpose field
euaiact:anx8-a6-data-and-logic	Data and logic description (A.6)	skos:closeMatch	eu-aiact:TechnicalDocumentation	TechnicalDocumentation	semapv:ManualMappingCuration	bom:ai-data-usage	A.6 data and logic description is part of the technical documentation required under Art.11 EU AI Act; eu-aiact:TechnicalDocumentation encompasses this requirement
euaiact:anx8-a6-data-and-logic	Data and logic description (A.6)	skos:closeMatch	eu-aiact:SystemArchitectureDescription	SystemArchitectureDescription	semapv:ManualMappingCuration	bom:ai-data-usage	System architecture and algorithmic logic within A.6 maps to eu-aiact:SystemArchitectureDescription — more specific than TechnicalDocumentation
euaiact:anx8-a7-market-status	Market availability status (A.7)	skos:exactMatch	eu-aiact:MarketAvailabilityStatus	MarketAvailabilityStatus	semapv:ManualMappingCuration	bom:doc-lifecycle-stage	eu-aiact:MarketAvailabilityStatus directly represents the market availability state of the AI system — exact semantic match for the A.7 registration field
euaiact:anx8-a8-certificate	Certificate reference (A.8, conditional)	skos:closeMatch	eu-aiact:ConformityAssessment	ConformityAssessment	semapv:ManualMappingCuration	bom:security-compliance	The A.8 certificate reference is evidence of a conformity assessment under Art.43 EU AI Act; eu-aiact:ConformityAssessment is the class covering this assessment
euaiact:anx8-a9-certificate-copy	Certificate copy (A.9, conditional)	skos:closeMatch	eu-aiact:ConformityAssessment	ConformityAssessment	semapv:ManualMappingCuration	bom:security-compliance	The A.9 certificate copy is documentation of the conformity assessment; same eu-aiact: mapping as A.8
euaiact:anx8-a11-declaration-of-conformity	Declaration of conformity reference (A.11)	skos:exactMatch	eu-aiact:EUDeclarationOfConformity	EUDeclarationOfConformity	semapv:ManualMappingCuration	bom:security-compliance	eu-aiact:EUDeclarationOfConformity is explicitly defined in Art.47 EU AI Act — exact semantic match for A.11; fills the prior vocabulary gap where only schema:Certification (relatedMatch) was available
euaiact:anx8-a12-instructions-for-use	Instructions for use URL (A.12)	skos:exactMatch	eu-aiact:InstructionForUse	InstructionForUse	semapv:ManualMappingCuration	bom:component-external-ref	eu-aiact:InstructionForUse (Art.3(15) EU AI Act) is the information provided by the provider on intended use — exact semantic match for A.12
